🏻	balat, emoji modifier, fitzpatrick, kulay, light na kulay ng balat
🏼	balat, emoji modifier, fitzpatrick, katamtamang light na kulay ng balat, kulay
🏽	balat, emoji modifier, fitzpatrick, katamtamang kulay ng balat, kulay
🏾	balat, emoji modifier, fitzpatrick, katamtamang dark na kulay ng balat, kulay
🏿	balat, dark na kulay ng balat, emoji modifier, fitzpatrick, kulay
😀	malaking ngiti, mukha, mukhang nakangisi, mukhang nakangiti, nakangiti, ngiti
😁	malaking ngiti, mata, mukha, nakangiti, nakangiti nang malaki kasama ang mga mata, nakangiti pati ang mga mata, ngiti
😂	iyak, luha, masaya, mukha, mukhang naiiyak sa tuwa, tawa, tumatawa
🤣	gumugulong, gumugulong sa kakatawa, mukha, sahig, tumatawa
😃	masaya, mukha, nakangisi na may malaking mga mata, nakangiti, ngiti
😄	masaya, mata, mukha, nakangisi kasama ang mga nakangiting mata, nakangiti, nakatawa, ngiti
😅	malamig, mukha, nakangising mukha na may pawis, nakangiti, nakatawa, ngiti, pawis
😆	XD, masaya, mata, mukha, nakangiti, nakapikit, nakatawa, nakatawa nang nakapikit, ngiti
😉	kindat, kumikindat, mukha
😊	blush, masaya, mata, mukha, nakangiti, nakangiti kasama ang mga mata, ngiti
😋	lasa, lumalasap, lumalasap ng masarap na pagkain, masarap, mukha, nakangiti, ngiti, yummy
😎	araw, cool, maaraw, mataas ang araw, mukha, nakangiti, nakangiti nang may suot na shades, ngiti, salamin, shades, sunglasses, tirik ang araw
😍	mata, mukha, nakangiti, nakangiti nang may hugis-pusong mga mata, ngiti, pag-ibig, puso
😘	flying kiss, halik, kindat, mukha, puso
🥰	crush, nakangiting mukha na may 3 na puso, sinasamba, umiibig
😗	halik, humahalik, mukha, nguso
😙	halik, humahalik nang nakangiti ang mga mata, mata, mukha, ngiti
😚	halik, humahalik nang nakapikit, mata, mukha, ngiti
☺	blush, mukha, nakangiti, ngiti
🙂	medyo nakangiti, mukha, nakangiti, ngiti
🤗	gesture, mukha, nangyayakap, yakap
🤩	bituin, mga mata, mukha, ngumingisi, star-struck
🤔	isip, mukha, nag-iisip
🤨	mukhang nakataas ang kilay, nagdududa, walang tiwala
😐	mukha, neutral, walang emosyon, walang reaksyon
😑	mukha, walang ekspresyon, walang emosyon, walang reaksyon
😶	hindi nagsasalita, mukha, mukhang walang bibig, tahimik, walang bibig
🙄	irap, itinitirik ang mga mata, mata, mukha, umiikot
😏	mukha, nakangisi, ngisi
😣	mukha, nagsisikap, nagtitiyaga
😥	dismayado, malungkot pero naibsan, mukha, nakahinga nang maluwag, whew
😮	bibig, mukha, nabigla, nagulat, nakanganga
🤐	bibig, hindi magsasalita, mukha, naka-zipper ang bibig, zipper
😯	mukha, naghihintay, nakanganga, tahimik, tahimik na naghihintay
😪	humihilik, inaantok na mukha, mukha, natutulog, tulog
😫	mukha, pagod na mukha
😴	humihilik, inaantok, mukha, natutulog, tulog
😌	buntung-hininga, mukha, nakahinga nang maluwag, whew
😛	belat, dila, mukha, nakabelat, nakadila
😜	biro, dila, kindat, kumikindat nang nakadila, mata, mukha, nakabelat, nakadila, nakakindat
😝	dila, lasa, mata, nakadila, nakadila nang nakapikit
🤤	mukha, naglalaway
😒	hindi masaya, hindi natutuwa, mukha
😓	malamig, mukha, pawis, pinagpapawisan nang malamig
😔	malungkot, malungkot na nag-iisip, mukha, nag-iisip, nalulumbay
😕	lito, mukha, nalilito
🙃	baligtad, baligtad na mukha, mukha
🤑	mukha, mukhang pera, pera
😲	gulat na gulat, mukha, nabigla, nagulat
☹	malungkot, mukha, nakasimangot, simangot
