😀	cara, cara sonriendo, contento, divertido, sonrisa
😁	cara, cara radiante con ojos sonrientes, divertido, risa, sonrisa
😂	cara, cara llorando de felicidad, felicidad, feliz, lágrimas
😃	boca abierta, cara sonriendo con ojos grandes, divertido, risa, sonrisa
😄	boca abierta, cara sonriendo con ojos sonrientes, divertido, risa, sonrisa
😅	boca abierta, cara sonriendo con sudor frío, sonrisa, sonrisa boca abierta, sudor frío
😆	boca abierta, cara, cara sonriendo con los ojos cerrados
😉	cara, cara guiñando el ojo, guiño
😊	cara, cara feliz con ojos sonrientes, ojos sonrientes, sonrisa
😋	broma, cara saboreando comida, delicioso, rico, sonriente
😎	cara, cara sonriendo con lentes de sol, lentes de sol, onda, sol
😍	amor, cara sonriendo con ojos de corazón, corazones, sonriente, tierno
😘	besos, cara, cara lanzando un beso, corazón
🥰	adoración, cara sonriente con 4 corazones, enamoramiento, flechazo
😗	cara, cara dando un beso
😙	beso, cara, cara besando con ojos sonrientes, ojos, sonriente
😚	beso, cara, cara besando con los ojos cerrados, cerrados, ojos
🙂	cara, cara sonriendo ligeramente, sonrisa
😑	cara sin expresión
🙄	cara con ojos en blanco
😏	cara sonriendo con superioridad
😣	cara perseverante
😥	cara triste pero aliviada
😮	cara con boca abierta, empatía, sorpresa
🤐	boca, cara, cara con la boca cerrada con cierre, zipper
😫	cara cansada
😛	cara sacando la lengua
😜	cara sacando la lengua y guiñando un ojo
😝	cara con los ojos bien cerrados y sacando la lengua, cara con ojos cerrados y sacando la lengua
😔	cara desanimada
🤑	cara con lengua de dinero
😞	cara, cara decepcionada, decepcionado, decepción
😟	cara, cara preocupada, preocupado
😤	cara resoplando
😢	cara llorando, llanto, llorar, triste, tristeza
😦	abierta, boca, cara, cara con el ceño fruncido y la boca abierta
😧	cara angustiada
😨	cara asustada
😩	cara agotada
😬	cara, cara haciendo mueca, mueca
😰	cara con ansiedad y sudor
😱	cara gritando de miedo, grito, horror, miedo, terror
🥵	calor, cara colorada, cara de calor, fiebre, golpe de calor, sudor
🥶	cara azul, cara de frío, congelamiento, frío, helado, tempano
😳	avergonzado, sonrojado, sorprendido, sorpresa, vergüenza
🤪	cara de loco, ojo grande, ojo pequeño
😵	cara, cara mareada, mareado
😡	cara de enojo
😠	cara, cara enfadada, enfadado, enojo
🤬	cara con boca censurada, cara con símbolos en la boca, maldecir, palabrota
