🏻	1–2-teri turi, emojini o‘zgartirish, teri, tus
🏼	3-teri turi, emojini o‘zgartirish, teri, tus
🏽	4-teri turi, emojini o‘zgartirish, teri, tus
🏾	5-teri turi, emojini o‘zgartirish, teri, tus
🏿	6-teri turi, emojini o‘zgartirish, teri, tus
😀	tirjaygan yuz, tirjayish, yuz
😁	ko‘z, tabassum, tirjaygan yuz, qisilgan ko‘zlar, tirjayish, yuz
😂	ko‘z yosh, kulgu, quvonch, quvonch ko‘z yoshlari, yuz
🤣	kulayotgan, qahqaha, qotib, qotib kulayotgan, yuz
😃	ochiq, og‘iz, og‘zini katta ochib kulayotgan yuz, tabassum, yuz
😄	ko‘z, ochiq, og‘iz, tabassum, tabassum, og‘iz ochiq, ko‘zlar qisilgan, yuz
😅	ochiq, og‘zini katta ochib kulayotgan yuz va sovuq ter, sovuq, tabassum, ter, yuz
😆	kulgu, mamnun, ochiq, og‘iz, og‘zini katta ochib kulayotgan yuz va qattiq yumilgan ko‘zlar, tabassum, yuz
😉	ko‘z qisish, yuz
😊	ko‘z, qizarish, tabassum, tabassum va kulib turgan ko‘zlar, yuz
😋	mazali, mazali taomni tatib ko‘rgan til, oh, shirin, tabassum, tatib ko‘rish, yuz
😎	ko‘z, ko‘zoynak, ko‘zoynak taqqan hamda kulayotgan yuz, ob-havo, quyosh, salqin, tabassum, yorug‘, yuz
😍	ko‘z, sevgi, tabassum, tabassum va yurak shaklidagi ko‘zlar, yurak, yuz
😘	bo‘sa yuborayotgan yuz, o‘pish, yurak, yuz
🥰	jilmaygan, kulish, oshiq, sevgi, sevib qolgan, yurakcha, yurakchalari bor jilmaygan yuz, yuz
😗	bo‘sa olayotgan yuz, o‘pish, yuz
😙	bo‘sa olayotgan yuz va kulayotgan ko‘zlar, ko‘z, o‘pish, tabassum, yuz
😚	bo‘sa olayotgan yuz va yumilgan ko‘zlar, ko‘z, o‘pish, yumilgan, yuz
☺	kulayotgan yuz, tabassum, xotirjam, yuz
🙂	tabassum, yengilgina kulayotgan yuz, yuz
🤗	quchayotgan yuz, quchish, quchoq, yuz
🤩	ko‘zlarda yulduzcha
🤔	o‘ylash, o‘ylayotgan yuz, yuz
🤨	qosh chimirilgan yuz
😐	betaraf, his-tuyg‘usiz, hissiz, yuz
😑	his-tuyg‘usiz, his-tuyg‘usiz yuz, ifodasiz, yuz
😶	jimjit, og‘iz, og‘izsiz yuz, sukut, yuz
🙄	aylantirayotgan, ko‘zlar, ko‘zlarini aylantirayotgan yuz, yuz
😏	istehzo, istehzoli yuz, yuz
😣	o‘jar, o‘jarlik, yuz
😥	hafasalasi pir, hafsalasi pir bo‘lgan yuz, hmm, yengil tortish, yuz
😮	hamdardlik, ochiq, og‘iz, og‘zi katta ochiq yuz, yuz
🤐	og‘iz, og‘zi qulflangan yuz, qulf, yuz
😯	hayratlanayotgan yuz, hayratlangan, karaxt, sukut saqlash, yuz
😪	uxlash, uyqusiragan yuz, yuz
😫	charchagan, charchagan yuz, yuz
😴	uxlash, uxlayotgan yuz, xurrak, yuz
😌	xotirjam, xotirjam yuz, yuz
😛	til, tilini chiqarib turgan yuz, yuz
😜	hazil, ko‘z, ko‘z qisish, til, tilini chiqarib turgan va ko‘zi qisilgan yuz, yuz
😝	ko‘z, qo‘rqinchli, tatib ko‘rish, til, tilini chiqarib turgan va ko‘zlari qattiq qisilgan yuz, yuz
🤤	so‘lagi oqayotgan, so‘lak, yuz
😒	qoniqmagan, qoniqmagan yuz, xafa, yuz
😓	sovuq, sovuq ter chiqayotgan yuz, ter, yuz
😔	g‘amgin, g‘amgin yuz, ranjigan, yuz
😕	xijolat, xijolat bo‘lgan yuz, yuz
🙃	to‘ntarilgan, to‘ntarilgan yuz, yuz
🤑	og‘iz, og‘zi pul yuz, pul, yuz
😲	batamom, hayratlangan, hayratlangan yuz, taajjub, yuz
☹	arazlagan yuz, arazlamoq, yuz
🙁	arazlamoq, ozroq arazlagan yuz, yuz
😖	xijolat, xijolatli yuz, yuz
😞	ko‘ngli qolgan, ko‘ngli qolgan yuz, yuz
😟	xavotir, xavotir olayotgan yuz, yuz
😤	burnidan tutun chiqayotgan yuz, g‘alaba, yuz, zafar
😢	hafa, ko‘z yoshi, yig‘lash, yig‘layotgan yuz, yuz
😭	hafa, ko‘z yoshi, xo‘ngrab yig‘lash, xo‘ngrab yig‘layotgan yuz, yig‘lash, yuz
😦	ochiq, og‘iz, og‘zini katta ochgan, qovog‘i solingan yuz, qovog‘ini solish, yuz
😧	g‘am-tashvishli yuz, tashvishli, yuz
😨	qo‘rqinchli, qo‘rqish, qo‘rqqan yuz, qo‘rquv, yuz
😩	charchagan, xorg‘in, xorg‘in yuz, yuz
🤯	miya portlashi
😬	afti burishgan, aftini burishtirish, yuz
😰	ko‘kargan, ochiq, og‘iz, og‘zi ochiq va sovuq terga botgan yuz, sovuq, ter, toliqqan, yuz
😱	baqiriq, chaynash, qo‘rqinchli, qo‘rqish, qo‘rquv, qo‘rquvdan qichqirayotgan yuz, yuz
🥵	bezgak, harorat, isitma, isitmalash, terlash, yuqori harorat
🥶	ayoz, ko‘karib ketish, muzlash, qaltirash, sovqotish, sovuq, yaxlash
😳	mahliyo, qizarish, yuz, yuzi qizargan
🤪	ahmoq yuz
😵	boshi aylanayotgan yuz, boshi aylanish, yuz
