🏻	pele clara, tipo 1–2, tom de pele
🏼	pele morena clara, tipo 3, tom de pele
🏽	pele morena, tipo 4, tom de pele
🏾	pele morena escura, tipo 5, tom de pele
🏿	pele escura, tipo 6, tom de pele
😀	lol, rindo, risada, rosto, rosto risonho
😁	olho, rosto, rosto contente com olhos sorridentes, rosto rindo com olhos sorridentes, sorriso, sorriso aberto
😂	alegria, lágrimas, rosto, rosto chorando de rir, rosto com lágrimas de alegria
🤣	chão, gargalhada, rolando, rolando no chão de rir, rosto
😃	aberto, boca, rosto, rosto risonho com olhos bem abertos, sorriso
😄	aberta, boca, olhos, rosto, rosto risonho com olhos sorridentes, sorriso
😅	rosto, rosto risonho com gota de suor, sorriso com suor frio, suor frio
😆	gargalhada, olhos fechados, rosto, rosto risonho com olhos semicerrados, sorriso com olhos fechados
😉	piscada, rosto, rosto com olho piscando
😊	olhos sorrindo, rosto, rosto sorridente com olhos sorridentes, rosto sorrindo, ruborizar
😋	delicioso, gostoso, nham, rosto, rosto saboreando comida, sorriso
😎	rosto, rosto sorridente com óculos escuros, sol, sorrindo, sorrindo de óculos escuros, óculos escuros
😍	amor, coração, olhos, olhos de coração, rosto, rosto sorridente com olhos de coração
😘	beijo, rosto, rosto mandando um beijo
🥰	amor, apaixonado, paixão, rosto sorridente com 3 corações
😗	beijo, rosto, rosto beijando
😙	olhos sorrindo, rosto, rosto beijando com olhos sorridentes, rosto beijando com um sorriso, sorriso
😚	beijando com os olhos fechados, olhos fechados, rosto, rosto beijando com olhos fechados
☺	rosto, rosto sorridente, sorridente, sorriso
🙂	rosto, rosto levemente sorridente, sorriso
🤗	abraço, mãos abraçando, rosto, rosto abraçando
🤩	estrela, gargalhando, olhos, rosto, rosto com olhar maravilhado
🤔	mão no queixo, pensando, rosto, rosto pensativo
🤨	cético, desconfiança, rosto com sobrancelha levantada
😐	neutro, rosto, rosto neutro, sem comentários, sem emoção
😑	rosto, rosto inexpressivo, sem expressão
😶	calado, quieto, rosto, rosto sem boca, sem boca
🙄	olhos, revirando os olhos, rosto, rosto com olhos revirados
😏	rosto, rosto com sorriso maroto, sorriso malicioso, sorriso maroto
😣	perseverante, perseverança, rosto perseverante
😥	aliviado, decepcionado, rosto, rosto triste, mas aliviado, ufa
😮	boca, boca aberta, empatia, rosto, rosto com boca aberta
🤐	rosto, rosto com boca de zíper, zíper
😯	espantado, rosto, rosto surpreso, surpreso
😪	rosto, rosto com sono, rosto sonolento
😫	cansado, exausto, rosto, rosto cansado
😴	rosto, rosto dormindo, sono, zzz
😌	alívio, rosto, rosto aliviado
😛	rosto, rosto com língua para fora, rosto mostrando a língua
😜	brincadeira, língua para fora com piscadela, piscadela, provocação, rosto, rosto piscando e com língua para fora
😝	horrível, língua para fora, língua para fora com os olhos fechados, olhos fechados, rosto, rosto com olhos semicerrados e língua para fora
🤤	babando, babar, rosto babando
😒	blasé, rosto, rosto aborrecido, rosto de que não achou graça
😓	rosto, rosto cabisbaixo com gota de suor, rosto com suor frio
😔	deprimido, desanimado, rosto, rosto deprimido
😕	confuso, indeciso, rosto, rosto confuso
🙃	rosto de cabeça para baixo, rosto invertido
🤑	cifrão, dinheiro, dinheiro na boca, rico, riqueza, rosto, rosto com cifrões
😲	chocado, estupefato, rosto, rosto espantado, totalmente chocado
☹	descontente, rosto, rosto de desaprovação, rosto descontente, triste
🙁	rosto, rosto meio triste, tristinho
😖	perplexo, rosto, rosto perplexo
😞	desapontamento, rosto, rosto decepcionado, rosto desapontado
😟	rosto, rosto preocupado
😤	rosto, rosto soltando vapor pelo nariz, triunfo, vitória
😢	lágrimas, rosto, rosto chorando, triste
😭	chorando, chorar, lágrimas, rosto, rosto chorando aos berros
😦	aberta, boca, rosto assustado, rosto franzido com boca aberta
😧	rosto, rosto angustiado, sofrendo
😨	assustado, rosto, rosto amedrontado
😩	cansado, rosto, rosto aborrecido, rosto desolado
🤯	cabeça explodindo, chocado
😬	fazendo careta, rosto, rosto expressando desagrado, rosto fazendo careta
😰	boca aberta, rosto, rosto ansioso com gota de suor, rosto azul com suor frio, suor frio
😱	assustado, gritando de medo, medo, rosto, rosto gritando de medo, temeroso
🥵	febril, insolação, quente, rosto fervendo de calor, rosto vermelho, suando
🥶	congelando, frio, glacial, gélido, rosto azul de frio, rosto gelado
😳	atordoado, rosto, rosto ruborizado
🤪	excêntrico, grande, olho, pequeno, rosto bizarro
😵	rosto, rosto atordoado
😡	irado, rosto, rosto furioso, rosto vermelho, rosto vermelho furioso, zangado
😠	irado, rosto, rosto zangado
🤬	rosto com símbolos na boca, xingando
😷	doente, gripado, máscara, máscara médica, resfriado, rosto, rosto com máscara médica
