🏻	peau claire
🏼	peau, peau modérément claire, type 3
🏽	peau légèrement mate
🏾	peau, peau modérément foncée, type 5
🏿	peau foncée
😀	grand sourire, large sourire, visage, visage avec large sourire
😁	grand sourire, large sourire, sourire, visage, visage radieux et yeux rieurs, œil
😂	joie, larme, rire, visage, visage pleurant de joie
🤣	rire, rire à se rouler par terre, se rouler par terre, visage
😃	bouche ouverte, sourire, visage, visage souriant les yeux grands ouverts
😄	bouche ouverte, sourire, visage, visage avec large sourire et yeux rieurs, œil
😅	un visage en sueur avec large sourire
😆	bouche ouverte, rire, satisfait, sourire, visage, visage avec large sourire, les yeux fermés
😉	clin d’œil, visage, visage clignant d’un œil
😊	rougir, sourire, visage, visage souriant les yeux plissés, œil
😋	délicieux, menoum, miam, savourant, sourire, visage, visage savourant
😎	cool, intelligent, soleil, visage, visage souriant avec des lunettes de soleil
😍	amour, sourire, visage, visage souriant aux yeux en forme de cœur, œil
😘	baiser, visage, visage envoyant un baiser
😗	baiser, visage, visage donnant un baiser
😙	baiser, sourire, visage, visage donnant un baiser avec les yeux plissés, œil
😚	baiser, visage, visage faisant un baiser les yeux fermés, yeux fermés
☺	visage souriant
🙂	visage avec un léger sourire
🤗	câlin, visage, visage heureux et câlin
🤩	grand sourire, large sourire, visage, visage aux yeux en forme d’étoiles, yeux, étoile
😐	visage neutre
😶	visage sans bouche
🙄	roule des yeux, visage, visage qui roule des yeux, yeux
😏	malin, sourire, visage, visage au sourire malin
😥	visage triste mais soulagé
😮	bouche ouverte, compassion, impressionné, visage, visage épaté
🤐	bouche, bouche cousue, fermeture à glissière, visage
😯	sans voix, stupéfait, surpris, visage, ébahi
😪	endormi, sommeil, visage
😴	endormi, sommeil, visage, zzz
😌	soulagement, soulagé, visage
😛	langue, langue sortie, tire la langue, visage
😜	clin d’œil, langue, tire la langue, visage
😝	dégoût, horrible, langue, visage, yeux plissés
🤤	visage qui bave
😒	visage désabusé
😓	froide, sueur, triste, visage, visage triste et en sueur
🙃	renversé, visage, visage à l’envers, à l’envers
🤑	argent, bouche, dollar, visage, yeux
😲	choqué, stupéfait, surpris, visage, étonné
😤	fumée, triomphe, victoire, visage, énervé
😢	larmes, pleure, triste, visage, visage en pleure
😭	chaudes larmes, pleure, sanglot, triste, visage
😦	bouche, béante, ouverte, renfrogné, visage
😰	anxieux, bleu, froide, sueur, visage, visage inquiet et en sueur
😱	cri, munch, peur, terreur, visage
🥵	canicule, chaud, fièvre, rouge, sueur, visage
🥶	bleu, froid, gelure, gelé, glacial, visage
🤪	amusant, farfelu, idiot, niaiseux, visage
😵	croches, tournis, visage, yeux, étourdi
😡	boudeur, furieux, rouge, visage, énervé
😠	en colère, furieux, visage
🤬	bipé, blasphème, censuré, sacre, visage
😷	docteur, froid, malade, masque, médical, visage
🤒	indisposé, malade, thermomètre, visage
🤕	bandage, blessure, blessé, visage, visage bandé
🤢	nausée, visage, visage écœuré, écœuré
😇	ange, auréole, innocent, visage, visage qui sourit avec une auréole
🥳	chapeau, célébration, fête, sifflet, visage
🥴	visage abruti
🥺	implorant, pitié, supplication, visage, yeux de chiot
🤥	mensonge, menteur, pinocchio, visage
🤫	chut, doigt sur la bouche, silence, visage
🤭	Oups, main sur la bouche, visage
🧐	monocle, sérieux, visage
🤓	geek, lunettes, nerd, niaiseux, tronche, visage, visage de tronche
👿	cornes, diable, diablotin, démon, en colère, visage, visage en colère avec des cornes
👹	créature, fantastique, monstre, ogre, visage
👺	créature, fantastique, gobelin, monstre, visage
💀	crâne, fantastique, monstre, mort, visage
👽	alien, créature, extraterrestre, fantastique, ovni, visage
👾	alien, créature, extraterrestre, monstre, ovni, visage
🤖	monstre, robot, visage
💩	caca, crotte, marde, merde, visage
😺	bouche, chat, ouverte, sourire, visage
😸	chat, sourire, visage, yeux rieurs
😹	chat, joie, larmes, sourire, visage
😻	amoureux, chat, sourire, visage, yeux en forme de cœurs
😼	chat, en coin, ironique, sourire, visage
😽	baiser, bec, bisou, chat, visage
🙀	chat, inquiet, surpris, visage, étonné
😿	chat, larmes, pleure, triste, visage
😾	chat, colère, furieux, visage
🙈	aveugle, rien de mal, singe, visage, yeux couverts
🙉	oreilles couvertes, rien de mal, singe, sourd, visage
🙊	bouche couverte, muet, rien de mal, singe, visage
👶	bébé, petit
🧒	enfant, genre non défini, jeune
🧑	adulte, genre non défini, personne
👨	adulte, homme
🧔	barbe, barbu, personne
👩	adulte, femme
🧓	adulte, genre non défini, personne, âgée
👴	adulte, homme, âgé
👵	adulte, femme, âgée
👨‍⚖	balance, homme, juge, justice
👨‍🏭	assemblage, homme, industrie, ouvrier, usine
👩‍🏭	assemblage, femme, industrie, ouvrière, usine
👨‍🔬	biologiste, chimiste, homme, physicien, scientifique
👩‍🔬	biologiste, chimiste, femme, physicienne, scientifique
👨‍🎤	artiste, chanteur, homme, rock, vedette
👩‍🎤	artiste, chanteuse, femme, rock, vedette
👨‍🎨	artiste, homme, peintre
👩‍🎨	artiste, femme, peintre
👮	agent de la paix, flic, officier, police
🕵‍♀	détective, enquêteuse, enquêtrice, espionne, femme
👸	conte de fées, fantastique, princesse
👲	calotte chinoise, chapeau, gua pi mao, homme, homme coiffé d’une calotte chinoise
🤵	complet, homme, homme portant un complet, smoking
👰	mariage, mariée, voile
🎅	Noël, célébration, fête, père
🤶	Noël, célébration, fête, mère
🦸	gentil, héroïne, héros, super pouvoirs, superhéros
🦸‍♀	bien, femme, héroïne, héros, super pouvoir
🦸‍♂	super-héros
🦹	criminel, mal, méchant, super pouvoir
🦹‍♀	criminelle, femme, mal, méchante, super pouvoir
🦹‍♂	criminel, homme, mal, méchant, super pouvoir
🧙	enchanteur, mage, magicien, sorcier, sorcière
🧙‍♀	enchanteresse, femme, mage, magicienne, sorcière
🧙‍♂	enchanteur, homme, mage, magicien, sorcier
🧚	fée, personnage féérique
🧚‍♀	femme, fée
🧚‍♂	féetaud, homme
🧛‍♀	femme, morte-vivante, vampire
🧛‍♂	Dracula, homme, mort-vivant, vampire
🧜‍♂	triton
🧝‍♀	elfe, femme, magique
🧝‍♂	elfe, homme, magique
🧞‍♀	djinn, femme, génie
🧞‍♂	djinn, génie, homme
🧟‍♀	femme, morte-vivante, zombie
🧟‍♂	homme, mort-vivant, zombie
🙍	froncer, mécontente, personne, personne mécontente, sourcils
🙍‍♂	froncement, geste, homme, sourcils
🙍‍♀	femme, froncement, geste, sourcils
🙎	baboune, bouder, geste, moue
🙎‍♂	baboune, boude, geste, homme, moue
🙎‍♀	baboune, boude, femme, geste, moue
🙅	Geste de négation, désaccord, interdit, main, négation
🙅‍♂	désaccord, homme, homme faisant un geste de négation, interdit, main, négation
🙅‍♀	désaccord, femme, femme faisant un geste de négation, interdit, main, négation
🙆	OK, accord, affirmation, geste d’affirmation, main
🙆‍♂	OK, accord, affirmation, homme, homme faisant un geste d’affirmation, main
🙆‍♀	OK, accord, affirmation, femme, femme faisant un geste d’affirmation, main
💁	aide, assistance, concierge, guichet, information, personne au guichet, réception
💁‍♂	aide, assistant, concierge, guichetier, homme, information, réceptionniste
💁‍♀	aide, assistante, concierge, femme, guichetière, information, réceptionniste
🙇	personne qui s’incline
🙇‍♂	courbette, désolé, excuses, homme, homme qui s’incline, incliné
🙇‍♀	courbette, désolée, excuses, femme, homme qui s’incline, inclinée
🤦	exaspération, incroyable, main, personne avec paume de la main sur le visage, visage
🤦‍♂	exaspération, homme, homme avec paume de la main sur le visage, incroyable, main, visage
🤦‍♀	exaspération, femme, femme avec paume de la main sur le visage, incroyable, main, visage
🤷	personne qui hausse les épaules
💇‍♂	homme qui se fait couper les cheveux
💇‍♀	femme qui se fait couper les cheveux
🚶	personne qui marche, piéton, randonnée
🚶‍♂	homme, marche, piéton, randonnée
🚶‍♀	femme, marche, piétonne, randonnée
🏃	personne qui court
🏃‍♂	homme qui court
🏃‍♀	femme qui court
👯	danseuse, femme, fille, oreilles, personnes qui portent des oreilles de lapin
👯‍♂	danseur, fête, homme, hommes qui portent des oreilles de lapin, oreilles de lapin
👯‍♀	danseuse, femme, femmes qui portent des oreilles de lapin, fête, oreilles de lapin
🧖	hammam, personne dans un bain de vapeur, sauna
🧖‍♀	femme dans un bain de vapeur, hammam, sauna
🧖‍♂	hammam, homme dans un bain de vapeur, sauna
🕴	affaires, complet, homme, lévitation
🗣	parler, parole, silhouette, visage
👤	buste, silhouette
👥	bustes, silhouettes
🤺	duel, escrime, escrimeur, personne, épée
🏇	chevaux, course, hippique, jockey
⛷	ski, skier, skieur, sport
🏂	neige, planche de neige, planchiste, ski
🏄	personne, personne qui fait du surf, surf
🚣	barque, bateau, personne, personne qui rame dans une barque, ramer
🚣‍♂	barque, bateau, homme, rameur
🚣‍♀	barque, bateau, femme, rameuse
🏊	nager, natation, personne qui nage
⛹	ballon, personne qui fait rebondir un ballon, rebond, rebondir
⛹‍♂	ballon, homme, homme qui fait rebondir un ballon, rebond, rebondir
⛹‍♀	ballon, femme, femme qui fait rebondir un ballon, rebond, rebondir
🏋	haltère, haltérophilie, lever, levée, poids
🏋‍♂	haltère, haltérophile, homme, lever, levée, poids
🏋‍♀	femme, haltère, haltérophile, lever, levée, poids
🚴	bicyclette, cyclisme, faire du vélo, personne, vélo
🚴‍♂	bicyclette, cycliste, faire du vélo, homme, vélo
🚴‍♀	bicyclette, cycliste, faire du vélo, femme, vélo
🚵	cyclisme, montagne, personne en vélo de montagne, vélo
🚵‍♂	cycliste, homme, homme en vélo de montagne, montagne, vélo, vététiste
🚵‍♀	cycliste, femme, femme en vélo de montagne, montagne, vélo, vététiste
🏎	course, voiture
🤸	gymnastique, personne, personne faisant la roue, roue
🤸‍♂	gymnaste, homme, roue
🤸‍♀	femme, gymnaste, roue
🤼	lutte, lutteur, personnes
🤼‍♂	hommes, lutte, lutteurs
🤼‍♀	femmes, lutte, lutteuses
🤽	personne, personne qui joue au water-polo, water-polo
🤽‍♂	homme, joueur de water-polo, water-polo
🤽‍♀	femme, joueuse de water-polo, water-polo
🤾	ballon, handball, personne, personne qui joue au handball
🤾‍♂	handball, handballeur, homme
🤾‍♀	femme, handball, handballeuse
👫	couple, femme, homme, homme et femme se tenant par la main
👬	couple, deux hommes se tenant par la main, gémeaux, jumeaux, zodiaque
👭	couple, deux femmes se tenant par la main, jumelles
💑	amour, couple, cœur
🤳	appareil photo, autophoto, selfie, téléphone
👈	dos de la main avec index pointant vers la gauche, gauche, index, main
👉	dos de la main avec index pointant vers la droite, droite, index, main
☝	index pointant vers le haut
👆	dos de la main avec index pointant vers le haut, haut, index, main
🖕	doigt d’honneur, main, majeur
👇	bas, dos de la main avec index pointant vers le bas, index, main
✌	V de la victoire, ciseaux, victoire
🤞	chance, croisés, doigts, main
🖖	main, salut, spock, vulcain
🤘	cornes, doigts, main, rock
🤙	appel, appelle-moi, main, signe, téléphone
🖐	doigts écartés, main, main aux doigts écartés
✋	levée, main
👌	OK, main
👍	OK, génial, oui, pouce vers le haut, super
👎	non, nul, négatif, pouce vers le bas
✊	levé, main, pierre, poing
🤛	gauche, poing
🤜	droite, poing
🤚	dos de main, levée, main
👋	coucou, main, signe
🤟	amour, je t’aime, main, signe
✍	main, écrire
👏	applaudissements, bravo, main
👐	main, ouvertes
🙌	air, célébration, geste, hourra, levées, mains
🤲	moins jointes, paume contre paume, prière
🙏	mains, merci, moins jointes, prière, svp
🤝	accord, main, poignée, poignée de main, présentation, rencontre
💅	manucure, maquillage, ongle, vernis
👣	empreinte, pas, pied, trace
👁‍🗨	bulle, parole, témoin, œil, œil dans une bulle de parole
💘	cupidon, cœur, flèche
💝	cœur, ruban, saint valentin, st valentin
